"block","plant_id","treatment","time_weeks","height_cm","biomass_g","chloroplast_count","infected"
"B1","P01","control",2,28.8,30.4,31,"no"
"B1","P01","control",4,40.9,26.5,41,"no"
"B1","P01","control",6,49.7,30.8,35,"yes"
"B2","P02","control",2,23.7,15.8,30,"no"
"B2","P02","control",4,37,34.3,35,"no"
"B2","P02","control",6,41,18.4,25,"no"
"B3","P03","control",2,23.5,14.3,28,"yes"
"B3","P03","control",4,32.1,17.7,21,"no"
"B3","P03","control",6,42.9,37.5,47,"no"
"B4","P04","control",2,20,18,22,"yes"
"B4","P04","control",4,30.9,10.6,24,"no"
"B4","P04","control",6,37.8,17.5,21,"no"
"B5","P05","control",2,25.8,12.3,26,"no"
"B5","P05","control",4,34.6,24,29,"no"
"B5","P05","control",6,43.8,44.9,41,"no"
"B1","P06","low_N",2,28.8,44.6,25,"yes"
"B1","P06","low_N",4,39.7,32,42,"no"
"B1","P06","low_N",6,47.8,46.8,37,"no"
"B2","P07","low_N",2,38.4,27.9,31,"no"
"B2","P07","low_N",4,40.4,17.9,38,"yes"
"B2","P07","low_N",6,50.3,38.8,43,"no"
"B3","P08","low_N",2,33.4,21.9,30,"no"
"B3","P08","low_N",4,43.1,44.3,40,"no"
"B3","P08","low_N",6,50.1,27.8,33,"no"
"B4","P09","low_N",2,35.2,16.6,31,"no"
"B4","P09","low_N",4,38.7,17.1,37,"no"
"B4","P09","low_N",6,45.2,45.8,40,"no"
"B5","P10","low_N",2,26,14.7,27,"yes"
"B5","P10","low_N",4,34.2,23.8,33,"no"
"B5","P10","low_N",6,41.9,23.2,29,"no"
"B1","P11","high_N",2,36.4,13.4,21,"no"
"B1","P11","high_N",4,50.5,66.5,39,"no"
"B1","P11","high_N",6,59,47.2,35,"no"
"B2","P12","high_N",2,37.8,24,33,"no"
"B2","P12","high_N",4,44.5,41.8,40,"no"
"B2","P12","high_N",6,59.1,35.8,27,"yes"
"B3","P13","high_N",2,38.6,23.9,27,"no"
"B3","P13","high_N",4,46.9,20.2,27,"yes"
"B3","P13","high_N",6,57.1,35.6,31,"no"
"B4","P14","high_N",2,34.8,19,28,"no"
"B4","P14","high_N",4,39.8,27.8,33,"no"
"B4","P14","high_N",6,46.7,21.8,32,"yes"
"B5","P15","high_N",2,37.2,17.7,25,"no"
"B5","P15","high_N",4,45.7,25.6,36,"no"
"B5","P15","high_N",6,50.9,41.2,49,"yes"
"B1","P16","drought",2,26.3,13.5,17,"no"
"B1","P16","drought",4,30.1,22.4,34,"yes"
"B1","P16","drought",6,34.4,19.2,41,"no"
"B2","P17","drought",2,19.8,14.9,16,"no"
"B2","P17","drought",4,29.1,37.5,32,"yes"
"B2","P17","drought",6,29,15.4,22,"no"
"B3","P18","drought",2,22.3,10.7,24,"yes"
"B3","P18","drought",4,29.7,25.5,32,"no"
"B3","P18","drought",6,26.9,21.7,25,"yes"
"B4","P19","drought",2,15.7,10.7,16,"yes"
"B4","P19","drought",4,21.9,19.5,27,"yes"
"B4","P19","drought",6,27.8,12.9,24,"no"
"B5","P20","drought",2,24.5,13.5,23,"no"
"B5","P20","drought",4,27.8,36.7,29,"yes"
"B5","P20","drought",6,33,31.5,32,"no"
