"block","plant_id","treatment","height_week2","height_week4","height_week6"
"B1","P01","control",28.8,40.9,49.7
"B2","P02","control",23.7,37,41
"B3","P03","control",23.5,32.1,42.9
"B4","P04","control",20,30.9,37.8
"B5","P05","control",25.8,34.6,43.8
"B1","P06","low_N",28.8,39.7,47.8
"B2","P07","low_N",38.4,40.4,50.3
"B3","P08","low_N",33.4,43.1,50.1
"B4","P09","low_N",35.2,38.7,45.2
"B5","P10","low_N",26,34.2,41.9
"B1","P11","high_N",36.4,50.5,59
"B2","P12","high_N",37.8,44.5,59.1
"B3","P13","high_N",38.6,46.9,57.1
"B4","P14","high_N",34.8,39.8,46.7
"B5","P15","high_N",37.2,45.7,50.9
"B1","P16","drought",26.3,30.1,34.4
"B2","P17","drought",19.8,29.1,29
"B3","P18","drought",22.3,29.7,26.9
"B4","P19","drought",15.7,21.9,27.8
"B5","P20","drought",24.5,27.8,33
